"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"84","C0084","R",5.09,4.2,3.6396,7.587,3.8544,2017-09-21,2017-11-15,"WS14","","","","C0084/R/2017-09-21/2017-11-15/WS14",5.03375,4.81068210997373,0.945584435324517,3.97145462836297,82.5549171110094,"0084"
"85","C0085","R",5.1,3.9,3.6188,7.3843,3.8093,2017-09-21,2017-11-15,"WS06","","","","C0085/R/2017-09-21/2017-11-15/WS06",5.04375,4.82023896541942,0.949409109016067,3.70269552516266,76.8156008804945,"0085"
"86","C0086","R",5.07,4.26,3.6405,7.4843,3.8649,2017-09-21,2017-11-15,"WS06","","","","C0086/R/2017-09-21/2017-11-15/WS06",5.01375,4.79156839908236,0.941620271606223,4.01130235704251,83.7158529931603,"0086"
"87","C0087","R",4.97,3.73,2.161,5.7971,NA,2017-09-21,2017-11-15,"WS06","","","","C0087/R/2017-09-21/2017-11-15/WS06",4.91375,4.69599984462547,NA,NA,NA,"0087"
"88","C0088","R",4.95,3.65,2.0815,5.6449,2.2752,2017-09-21,2017-11-15,"WS06","","","","C0088/R/2017-09-21/2017-11-15/WS06",4.89375,4.67688613373409,0.945641802772633,3.45159258012011,73.801082203477,"0088"
"89","C0089","A",4.96,2.17,3.6154,5.3367,3.8188,2017-09-21,2017-11-15,"WS14","","","","C0089/A/2017-09-21/2017-11-15/WS14",4.6075,4.38874882090807,0.881833497937605,1.9135786905246,43.6019186472528,"0089"
"90","C0090","A",4.97,2.68,2.129,3.6248,2.2816,2017-09-21,2017-11-15,"WS31","","","","C0090/A/2017-09-21/2017-11-15/WS31",4.6175,4.39827404895128,0.897981013504479,2.406589116192,54.7166704349819,"0090"
"91","C0091","A",4.97,3.03,1.7897,2.8734,1.9006,2017-09-21,2017-11-15,"WS31","","","","C0091/A/2017-09-21/2017-11-15/WS31",4.6175,4.39827404895128,0.897665405555043,2.71992617883178,61.8407618206582,"0091"
"92","C0092","A",5.09,2.69,1.7289,2.9217,1.8791,2017-09-21,2017-11-15,"WS31","","","","C0092/A/2017-09-21/2017-11-15/WS31",4.7375,4.51257678546978,0.874077800134138,2.35126928236083,52.1048038435994,"0092"
"93","C0093","A",4.99,2.35,2.0849,3.7175,NA,2017-09-21,2017-11-15,"WS31","","","","C0093/A/2017-09-21/2017-11-15/WS31",4.6375,4.4173245050377,NA,NA,NA,"0093"
