sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,analysis.lab,convert.concentration.ugl
nutrients,SRP,7,8,2018,8/7/18,towr,upstream,11.4,ESL,11.4
nutrients,SRP,7,8,2018,8/7/18,towr,seep,11.7,ESL,11.7
nutrients,SRP,7,8,2018,8/7/18,ws55,seep,13.2,ESL,13.2
nutrients,TN,7,8,2018,8/7/18,towr,upstream,2020,ESL,2020
nutrients,TN,7,8,2018,8/7/18,ws55,flume,1960,ESL,1960
nutrients,TN,7,8,2018,8/7/18,towr,seep,1970,ESL,1970
nutrients,TN,7,8,2018,8/7/18,towr,flume,1900,ESL,1900
nutrients,TN,7,8,2018,8/7/18,ws55,seep,2010,ESL,2010
nutrients,TN,7,8,2018,8/7/18,ws55,flume,1830,ESL,1830
nutrients,TN,7,8,2018,8/7/18,towr,flume,1650,ESL,1650
nutrients,TP,7,8,2018,8/7/18,towr,upstream,41.4,ESL,41.4
nutrients,TP,7,8,2018,8/7/18,ws55,flume,43,ESL,43
nutrients,TP,7,8,2018,8/7/18,towr,seep,43,ESL,43
nutrients,TP,7,8,2018,8/7/18,towr,flume,43.4,ESL,43.4
nutrients,TP,7,8,2018,8/7/18,ws55,seep,45.1,ESL,45.1
nutrients,TP,7,8,2018,8/7/18,ws55,flume,3.6,ESL,3.6
nutrients,TP,7,8,2018,8/7/18,towr,flume,2.8,ESL,2.8
nutrients,NH4,22,8,2018,8/22/18,towr,flume,8.7,ESL,8.7
nutrients,NH4,22,8,2018,8/22/18,towr,seep,21.9,ESL,21.9
nutrients,NH4,22,8,2018,8/22/18,ws55,seep,9.4,ESL,9.4
nutrients,NH4,22,8,2018,8/22/18,ws55,flume,7.4,ESL,7.4
nutrients,NH4,22,8,2018,8/22/18,towr,upstream,11,ESL,11
nutrients,NO3,22,8,2018,8/22/18,towr,flume,5.4,ESL,5.4
nutrients,NO3,22,8,2018,8/22/18,towr,seep,3.1,ESL,3.1
nutrients,NO3,22,8,2018,8/22/18,ws55,seep,4.6,ESL,4.6
nutrients,NO3,22,8,2018,8/22/18,ws55,flume,4.7,ESL,4.7
nutrients,NO3,22,8,2018,8/22/18,towr,upstream,4.6,ESL,4.6
nutrients,SRP,22,8,2018,8/22/18,towr,flume,13.9,ESL,13.9
nutrients,SRP,22,8,2018,8/22/18,towr,seep,12.2,ESL,12.2
nutrients,SRP,22,8,2018,8/22/18,ws55,seep,12.4,ESL,12.4
nutrients,SRP,22,8,2018,8/22/18,ws55,flume,15,ESL,15
nutrients,SRP,22,8,2018,8/22/18,towr,upstream,14.3,ESL,14.3
nutrients,NH4,5,9,2018,9/5/18,towr,flume,9.78,CAIS,9.78
nutrients,NH4,5,9,2018,9/5/18,ws55,seep,2.3,CAIS,2.3
nutrients,NH4,5,9,2018,9/5/18,towr,seep,2.33,CAIS,2.33
nutrients,NH4,5,9,2018,9/5/18,ws55,flume,3.72,CAIS,3.72
nutrients,NH4,5,9,2018,9/5/18,towr,upstream,1.96,CAIS,1.96
nutrients,NO3,5,9,2018,9/5/18,towr,flume,7.71,CAIS,7.71
nutrients,NO3,5,9,2018,9/5/18,ws55,seep,3.39,CAIS,3.39
nutrients,NO3,5,9,2018,9/5/18,towr,seep,5.39,CAIS,5.39
nutrients,NO3,5,9,2018,9/5/18,ws55,flume,12.28,CAIS,12.28
nutrients,NO3,5,9,2018,9/5/18,towr,upstream,10.22,CAIS,10.22
nutrients,SRP,5,9,2018,9/5/18,towr,flume,11.98,CAIS,11.98
nutrients,SRP,5,9,2018,9/5/18,ws55,seep,2.85,CAIS,2.85
nutrients,SRP,5,9,2018,9/5/18,towr,seep,2.92,CAIS,2.92
nutrients,SRP,5,9,2018,9/5/18,ws55,flume,2.16,CAIS,2.16
nutrients,SRP,5,9,2018,9/5/18,towr,upstream,3.39,CAIS,3.39
nutrients,TN,5,9,2018,9/5/18,towr,flume,97.2,CAIS,97.2
nutrients,TN,5,9,2018,9/5/18,ws55,seep,55.2,CAIS,55.2
nutrients,TN,5,9,2018,9/5/18,towr,seep,45.6,CAIS,45.6
nutrients,TN,5,9,2018,9/5/18,ws55,flume,86.4,CAIS,86.4
nutrients,TN,5,9,2018,9/5/18,towr,upstream,80.4,CAIS,80.4
nutrients,TP,5,9,2018,9/5/18,towr,flume,15.88,CAIS,15.88
nutrients,TP,5,9,2018,9/5/18,ws55,seep,12.84,CAIS,12.84
nutrients,TP,5,9,2018,9/5/18,towr,seep,12.12,CAIS,12.12
nutrients,TP,5,9,2018,9/5/18,ws55,flume,8.33,CAIS,8.33
nutrients,TP,5,9,2018,9/5/18,towr,upstream,11.57,CAIS,11.57
nutrients,NH4,19,9,2018,9/19/18,towr,seep,0,CAIS,0
nutrients,NH4,19,9,2018,9/19/18,ws55,seep,2.57,CAIS,2.57
nutrients,NH4,19,9,2018,9/19/18,ws55,flume,3.33,CAIS,3.33
nutrients,NH4,19,9,2018,9/19/18,towr,upstream,0,CAIS,0
nutrients,NH4,19,9,2018,9/19/18,towr,flume,2.1,CAIS,2.1
nutrients,NO3,19,9,2018,9/19/18,towr,seep,4.39,CAIS,4.39
nutrients,NO3,19,9,2018,9/19/18,ws55,seep,1.23,CAIS,1.23
nutrients,NO3,19,9,2018,9/19/18,ws55,flume,37.79,CAIS,37.79
nutrients,NO3,19,9,2018,9/19/18,towr,upstream,11.8,CAIS,11.8
nutrients,NO3,19,9,2018,9/19/18,towr,flume,10.12,CAIS,10.12
nutrients,SRP,19,9,2018,9/19/18,towr,seep,2.87,CAIS,2.87
nutrients,SRP,19,9,2018,9/19/18,ws55,seep,2.63,CAIS,2.63
